start_time,end_time,duration_minutes,cluster,top_variables,severity
2019-06-04 13:35:00,2019-06-04 13:35:00,0.0,State_51,"Cyclone_Material_Temp, Cyclone_Gas_Outlet_Temp, Cyclone_Inlet_Gas_Temp",12.247717295372572
2017-12-16 20:25:00,2017-12-16 20:25:00,0.0,State_132,"Cyclone_Material_Temp, Cyclone_Inlet_Gas_Temp, Cyclone_cone_draft",11.314048449061419
2017-06-02 23:25:00,2017-06-02 23:25:00,0.0,State_152,"Cyclone_Gas_Outlet_Temp, Cyclone_Inlet_Gas_Temp, Cyclone_Material_Temp",10.809461385575677
2017-06-23 09:50:00,2017-06-23 09:50:00,0.0,State_152,"Cyclone_cone_draft, Cyclone_Inlet_Draft, Cyclone_Outlet_Gas_draft",10.252657984809705
2019-08-01 13:40:00,2019-08-01 13:40:00,0.0,State_142,"Cyclone_Inlet_Draft, Cyclone_Gas_Outlet_Temp, Cyclone_Outlet_Gas_draft",10.149360758665345
2019-09-27 17:20:00,2019-09-27 18:05:00,45.0,State_88,"Cyclone_Gas_Outlet_Temp, Cyclone_Outlet_Gas_draft, Cyclone_Inlet_Draft",7.74471197805239
2019-05-12 02:35:00,2019-05-12 02:35:00,0.0,State_3,"Cyclone_Inlet_Draft, Cyclone_Outlet_Gas_draft, Cyclone_cone_draft",7.34219233874237
2018-04-03 16:10:00,2018-04-03 16:10:00,0.0,State_3,"Cyclone_Gas_Outlet_Temp, Cyclone_Inlet_Gas_Temp, Cyclone_Material_Temp",6.859724456880887
2018-10-16 08:30:00,2018-10-16 08:45:00,15.0,State_1,"Cyclone_Inlet_Draft, Cyclone_Inlet_Gas_Temp, Cyclone_Outlet_Gas_draft",6.629808643171245
2020-01-08 07:50:00,2020-01-08 07:50:00,0.0,State_138,"Cyclone_Inlet_Gas_Temp, Cyclone_Material_Temp, Cyclone_Gas_Outlet_Temp",6.495467760499981
2017-10-13 17:15:00,2017-10-13 17:15:00,0.0,State_18,"Cyclone_Inlet_Draft, Cyclone_Inlet_Gas_Temp, Cyclone_Gas_Outlet_Temp",6.216838466852468
2018-04-07 04:05:00,2018-04-07 04:05:00,0.0,State_138,"Cyclone_Gas_Outlet_Temp, Cyclone_Inlet_Draft, Cyclone_Outlet_Gas_draft",5.799543265545238
2018-07-16 09:00:00,2018-07-16 09:00:00,0.0,State_138,"Cyclone_Gas_Outlet_Temp, Cyclone_Material_Temp, Cyclone_Inlet_Draft",5.707496104948311
2020-03-25 13:05:00,2020-03-25 13:05:00,0.0,State_3,"Cyclone_Gas_Outlet_Temp, Cyclone_Inlet_Gas_Temp, Cyclone_Inlet_Draft",5.524104588693586
2019-12-12 20:45:00,2019-12-12 23:45:00,180.0,State_90,"Cyclone_Outlet_Gas_draft, Cyclone_Inlet_Draft, Cyclone_Material_Temp",5.432313837277017
2019-10-24 00:15:00,2019-10-24 00:15:00,0.0,State_71,"Cyclone_Outlet_Gas_draft, Cyclone_Inlet_Draft, Cyclone_cone_draft",5.430748091629204
2019-03-18 11:00:00,2019-03-18 11:05:00,5.0,State_10,"Cyclone_Outlet_Gas_draft, Cyclone_Inlet_Draft, Cyclone_Inlet_Gas_Temp",5.375201604336359
