actual,persistence,random_forest
34.08,33.13,34.08966563424744
34.07,33.13,34.08966563424744
34.09,33.13,34.089665634247446
34.12,33.13,34.08966563424744
34.09,33.13,33.9274485048202
34.06,33.13,33.903896270476636
34.1,33.13,33.86704572667404
34.08,33.13,33.86704572667404
34.12,33.13,33.835355917051295
34.11,33.13,33.81839800343306
34.09,33.13,33.67754608045751
34.07,33.13,33.521958269994045
34.13,33.46,34.08966563424744
34.14,33.46,34.08966563424744
34.15,33.46,34.25078376218632
34.16,33.46,34.093643181114075
34.19,33.46,34.08966563424744
34.2,33.46,34.08966563424744
34.23,33.46,34.08966563424744
34.22,33.46,34.250783762186316
34.23,33.46,34.093643181114075
34.22,33.46,34.08966563424744
34.21,33.46,34.08966563424744
34.2,33.46,34.08966563424744
34.22,33.5,34.25875427061725
34.22,33.5,34.25875427061726
34.23,33.5,34.26607980288054
34.21,33.5,34.26607980288054
34.19,33.5,34.26607980288053
34.2,33.5,34.26607980288053
34.19,33.5,34.25875427061727
34.19,33.5,34.25875427061726
34.17,33.5,34.25875427061725
34.17,33.5,34.25875427061726
34.16,33.5,34.25875427061726
34.16,33.5,34.097636142678375
34.16,33.56,34.25875427061727
34.13,33.56,34.25875427061726
34.07,33.56,34.25875427061726
34.07,33.56,34.25875427061726
34.08,33.56,34.25875427061727
34.1,33.56,34.25875427061725
34.11,33.56,34.25875427061726
34.1,33.56,34.25875427061727
34.06,33.56,34.25875427061725
34.04,33.56,34.26607980288054
34.02,33.56,34.26607980288053
33.92,33.56,34.266079802880554
33.87,33.62,34.07594235320111
33.91,33.62,34.08966563424743
33.89,33.62,34.08966563424744
33.81,33.62,34.08966563424744
33.82,33.62,34.08966563424743
33.75,33.62,34.08966563424744
33.73,33.62,34.08966563424743
33.63,33.62,34.08966563424744
33.64,33.62,34.08966563424744
33.58,33.62,34.250783762186316
33.57,33.62,34.25875427061726
33.53,33.62,34.25875427061726
33.59,33.62,33.39062836098421
33.65,33.62,33.40377714601223
33.65,33.62,33.469767304442534
33.71,33.62,33.617347835733
33.74,33.62,33.64834965021387
33.71,33.62,33.859167908020375
33.74,33.62,33.89257924494495
33.73,33.62,33.90045706359862
33.77,33.62,33.94801541179803
33.76,33.62,33.97812541803456
33.76,33.62,33.95494996100426
33.78,33.62,33.97812541803456
33.8,33.62,33.86704572667404
33.81,33.62,33.85916790802037
33.83,33.62,33.859167908020375
33.78,33.62,33.86704572667404
33.79,33.62,33.859167908020375
33.79,33.62,33.835355917051295
33.79,33.62,33.85523384279267
33.74,33.62,33.83535591705129
33.75,33.62,33.81839800343307
33.75,33.62,33.712147645731655
33.76,33.62,33.62259210487143
33.77,33.62,33.40377714601224
33.79,33.66,33.86704572667404
33.76,33.66,33.85916790802036
33.76,33.66,33.85916790802037
33.75,33.66,33.85916790802037
33.77,33.66,33.87195809900968
33.78,33.66,33.87983591766334
33.76,33.66,33.87983591766334
33.74,33.66,33.86704572667404
33.74,33.66,33.91661706454246
33.74,33.66,33.903896270476636
33.76,33.66,33.900457063598616
33.74,33.66,33.86704572667404
33.76,33.64,33.85916790802037
33.77,33.64,33.859167908020375
33.75,33.64,33.859167908020375
33.73,33.64,33.859167908020375
